year,danceability,energy,tempo,acousticness,duration_ms
1980,0.620,0.571,103.130,0.356,207390
1981,0.630,0.649,123.569,0.304,227191
1982,0.668,0.629,120.588,0.141,235502
1983,0.697,0.593,122.858,0.139,252009
1984,0.651,0.691,116.194,0.176,249788
1985,0.663,0.656,107.884,0.173,279528
1986,0.625,0.570,112.360,0.209,272095
1987,0.625,0.792,108.949,0.226,263893
1988,0.622,0.705,121.720,0.227,260760
1989,0.679,0.668,110.760,0.271,253647
1990,0.649,0.606,115.785,0.286,277173
1991,0.621,0.555,115.620,0.196,273140
1992,0.707,0.568,113.428,0.175,270712
1993,0.706,0.566,109.532,0.253,269637
1994,0.640,0.562,113.855,0.249,243978
1995,0.687,0.570,120.888,0.230,270767
1996,0.643,0.479,129.628,0.432,262663
1997,0.706,0.622,105.768,0.167,258585
1998,0.641,0.499,131.300,0.214,273190
1999,0.654,0.655,123.767,0.181,231018
2000,0.645,0.649,112.342,0.159,260767
2001,0.632,0.693,99.549,0.172,232442
2002,0.655,0.731,122.503,0.120,245053
2003,0.651,0.759,95.572,0.142,226088
2004,0.738,0.684,103.611,0.158,230300
2005,0.713,0.650,121.201,0.142,220696
2006,0.778,0.698,123.144,0.191,232418
2007,0.631,0.679,138.635,0.238,237920
2008,0.690,0.561,112.681,0.309,231876
2009,0.713,0.693,128.154,0.128,224747
2010,0.707,0.826,109.248,0.121,238075
2011,0.689,0.771,121.964,0.124,224520
2012,0.682,0.707,128.416,0.094,217835
2013,0.597,0.684,123.647,0.187,253207
2014,0.630,0.656,124.885,0.240,219400
2015,0.723,0.669,111.208,0.161,227923
2016,0.654,0.632,130.298,0.187,227330
2017,0.769,0.666,126.141,0.184,225174
2018,0.709,0.664,120.574,0.084,216595
2019,0.778,0.576,127.334,0.217,209586
2020,0.705,0.626,116.776,0.253,200920
